sample_id,latency_us,synthetic_bucket,overrun_100us,synthetic,evidence_eligible
1,12.141308,core_stable,False,True,False
2,12.571657,core_stable,False,True,False
3,16.313542,interrupt_delay,False,True,False
4,12.43081,core_stable,False,True,False
5,12.325905,core_stable,False,True,False
6,12.541647,core_stable,False,True,False
7,12.423474,core_stable,False,True,False
8,12.763454,core_stable,False,True,False
9,12.618606,core_stable,False,True,False
10,12.188918,core_stable,False,True,False
11,12.404001,core_stable,False,True,False
12,12.336067,core_stable,False,True,False
13,12.05001,core_stable,False,True,False
14,12.427476,core_stable,False,True,False
15,12.525108,core_stable,False,True,False
16,14.098798,branch_miss,False,True,False
17,14.026666,branch_miss,False,True,False
18,12.064653,core_stable,False,True,False
19,12.133067,core_stable,False,True,False
20,17.410147,worst_case_protection_path,False,True,False
21,12.180836,core_stable,False,True,False
22,12.223485,core_stable,False,True,False
23,12.05161,core_stable,False,True,False
24,13.937702,branch_miss,False,True,False
25,12.239008,core_stable,False,True,False
26,12.587396,core_stable,False,True,False
27,12.502701,core_stable,False,True,False
28,15.850403,interrupt_delay,False,True,False
29,13.288419,cache_memory_jitter,False,True,False
30,12.297499,core_stable,False,True,False
31,12.63061,core_stable,False,True,False
32,12.042569,core_stable,False,True,False
33,12.015043,core_stable,False,True,False
34,12.09866,core_stable,False,True,False
35,12.145789,core_stable,False,True,False
36,12.071054,core_stable,False,True,False
37,12.782794,core_stable,False,True,False
38,13.602287,branch_miss,False,True,False
39,12.060492,core_stable,False,True,False
40,12.877867,cache_memory_jitter,False,True,False
41,12.34911,core_stable,False,True,False
42,12.633411,core_stable,False,True,False
43,14.701579,interrupt_delay,False,True,False
44,12.75025,core_stable,False,True,False
45,12.436412,core_stable,False,True,False
46,12.141148,core_stable,False,True,False
47,12.39816,core_stable,False,True,False
48,12.478293,core_stable,False,True,False
49,17.942439,worst_case_protection_path,False,True,False
50,12.117063,core_stable,False,True,False
51,12.215563,core_stable,False,True,False
52,13.501302,branch_miss,False,True,False
53,12.158832,core_stable,False,True,False
54,12.235087,core_stable,False,True,False
55,12.932514,cache_memory_jitter,False,True,False
56,12.285097,core_stable,False,True,False
57,12.29894,core_stable,False,True,False
58,13.297526,cache_memory_jitter,False,True,False
59,13.2667,cache_memory_jitter,False,True,False
60,12.197319,core_stable,False,True,False
61,14.65346,interrupt_delay,False,True,False
62,13.473377,cache_memory_jitter,False,True,False
63,12.645282,core_stable,False,True,False
64,13.172119,cache_memory_jitter,False,True,False
65,12.004561,core_stable,False,True,False
66,12.069614,core_stable,False,True,False
67,12.615405,core_stable,False,True,False
68,12.347429,core_stable,False,True,False
69,12.673558,core_stable,False,True,False
70,12.707302,core_stable,False,True,False
71,12.65942,core_stable,False,True,False
72,12.70917,core_stable,False,True,False
73,12.043209,core_stable,False,True,False
74,12.161072,core_stable,False,True,False
75,13.36058,cache_memory_jitter,False,True,False
76,12.691164,core_stable,False,True,False
77,12.240368,core_stable,False,True,False
78,12.176515,core_stable,False,True,False
79,12.203161,core_stable,False,True,False
80,12.065453,core_stable,False,True,False
81,12.064253,core_stable,False,True,False
82,12.530977,core_stable,False,True,False
83,12.314463,core_stable,False,True,False
84,12.219804,core_stable,False,True,False
85,13.069831,cache_memory_jitter,False,True,False
86,12.105781,core_stable,False,True,False
87,15.808299,interrupt_delay,False,True,False
88,12.280456,core_stable,False,True,False
89,12.316303,core_stable,False,True,False
90,12.057772,core_stable,False,True,False
91,12.068894,core_stable,False,True,False
92,13.508515,branch_miss,False,True,False
93,12.231246,core_stable,False,True,False
94,12.62861,core_stable,False,True,False
95,12.235247,core_stable,False,True,False
96,12.256771,core_stable,False,True,False
97,12.142749,core_stable,False,True,False
98,12.163873,core_stable,False,True,False
99,12.521907,core_stable,False,True,False
100,12.09762,core_stable,False,True,False
101,12.93952,cache_memory_jitter,False,True,False
102,12.126905,core_stable,False,True,False
103,12.603535,core_stable,False,True,False
104,12.408803,core_stable,False,True,False
105,12.444815,core_stable,False,True,False
106,12.602734,core_stable,False,True,False
107,12.30238,core_stable,False,True,False
108,12.645815,core_stable,False,True,False
109,12.256051,core_stable,False,True,False
110,12.414005,core_stable,False,True,False
111,12.313983,core_stable,False,True,False
112,12.715438,core_stable,False,True,False
113,12.00128,core_stable,False,True,False
114,12.206521,core_stable,False,True,False
115,12.389278,core_stable,False,True,False
116,12.355511,core_stable,False,True,False
117,12.419607,core_stable,False,True,False
118,12.255731,core_stable,False,True,False
119,13.156005,cache_memory_jitter,False,True,False
120,12.177315,core_stable,False,True,False
121,13.573434,branch_miss,False,True,False
122,12.185237,core_stable,False,True,False
123,14.876008,interrupt_delay,False,True,False
124,14.008632,branch_miss,False,True,False
125,12.223965,core_stable,False,True,False
126,12.204441,core_stable,False,True,False
127,13.120274,cache_memory_jitter,False,True,False
128,12.335347,core_stable,False,True,False
129,12.14755,core_stable,False,True,False
130,12.345749,core_stable,False,True,False
131,12.180276,core_stable,False,True,False
132,12.552851,core_stable,False,True,False
133,12.346789,core_stable,False,True,False
134,16.517271,worst_case_protection_path,False,True,False
135,12.395919,core_stable,False,True,False
136,13.187532,cache_memory_jitter,False,True,False
137,12.054731,core_stable,False,True,False
138,12.930412,cache_memory_jitter,False,True,False
139,12.172595,core_stable,False,True,False
140,12.320144,core_stable,False,True,False
141,12.441214,core_stable,False,True,False
142,12.214203,core_stable,False,True,False
143,12.274935,core_stable,False,True,False
144,12.026725,core_stable,False,True,False
145,12.124825,core_stable,False,True,False
146,12.74038,core_stable,False,True,False
147,12.068654,core_stable,False,True,False
148,12.287257,core_stable,False,True,False
149,12.157952,core_stable,False,True,False
150,15.513575,interrupt_delay,False,True,False
151,12.027686,core_stable,False,True,False
152,12.368874,core_stable,False,True,False
153,12.414138,core_stable,False,True,False
154,12.243649,core_stable,False,True,False
155,12.027606,core_stable,False,True,False
156,12.695298,core_stable,False,True,False
157,13.666004,branch_miss,False,True,False
158,12.186757,core_stable,False,True,False
159,12.108022,core_stable,False,True,False
160,13.628736,branch_miss,False,True,False
161,12.732111,core_stable,False,True,False
162,12.354871,core_stable,False,True,False
163,12.075215,core_stable,False,True,False
164,12.09986,core_stable,False,True,False
165,12.263333,core_stable,False,True,False
166,12.537913,core_stable,False,True,False
167,12.570457,core_stable,False,True,False
168,12.227325,core_stable,False,True,False
169,17.71922,worst_case_protection_path,False,True,False
170,13.47618,cache_memory_jitter,False,True,False
171,12.596599,core_stable,False,True,False
